ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
608868,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,La Lumiere,https://www.28hse.com/en/buy/estate-8567,For sale,8.48,,19721.0,,High level,2,,430 ,,2.0,,140,0,20 days before,20 days before,5 hours before,2018.09.15,07-07-2018
587391,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Hayon Building,https://www.28hse.com/en/buy/estate-5684,For sale,4.99,12082.0,19880.0,,Low level,1,413 ,251 ,,28.0,,685,0,53 days before,53 days before,22 hours before,2018.08.13,07-07-2018
588078,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Tung Yu Building,https://www.28hse.com/en/buy/estate-8182,For sale,5.18,11826.0,17039.0,,Low level,2,438 ,304 ,,39.0,,505,0,52 days before,29 days before,22 hours before,2018.08.14,07-07-2018
608939,"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Chinese Mansion,https://www.28hse.com/en/buy/estate-5356,For sale,6.18,,9810.0,唐三,,5 + ,,630 ,,55.0,,190,0,20 days before,20 days before,1 hours before,2018.09.15,07-07-2018
588273,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Nathan Apartments,https://www.28hse.com/en/buy/estate-2853,For sale,6.97,8712.0,11188.0,,Mid level,3,800 ,623 ,,60.0,,551,0,52 days before,50 days before,22 hours before,2018.08.14,07-07-2018
570334,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Appartment,https://www.28hse.com/en/buy/estate-3115,For sale,4.98,13174.0,16768.0,,High level,1,378 ,297 ,,,,365,0,2 months before,2 months before,5 days before,2018.07.19,07-07-2018
608644,"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,The Lodge,https://www.28hse.com/en/buy/estate-2911,For sale,4.7,,23039.0,,Mid level,open style,,204 ,,,,296,0,20 days before,20 days before,3 days before,2018.09.14,07-07-2018
538826,,,,,For sale,2.68,,11602.0,,High level,1,,231 ,,,,11540,1,20 days before,2 days before,23 hours before,2018.09.15,07-07-2018
608653,"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Gardenia,https://www.28hse.com/en/buy/estate-7342,For sale,8.98,,18554.0,,,2,,484 ,,5.0,,70,0,20 days before,,1 hours before,2018.09.14,07-07-2018
588743,,,,,For sale,4.08,7418.0,10099.0,,,,550 ,404 ,,,,378,0,51 days before,20 days before,15 days before,2018.08.15,07-07-2018
608687,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Tak Cheong Building,https://www.28hse.com/en/buy/estate-2837,For sale,3.88,17636.0,18047.0,,,1,220 ,215 ,,41.0,,521,0,20 days before,20 days before,2 hours before,2018.09.14,07-07-2018
605652,"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Metro Harbour View,https://www.28hse.com/en/buy/estate-2564,For sale For rent,13.3,15217.0,21875.0,1F,High level,4,874 ,608 ,,15.0,,545,0,25 days before,13 days before,7 days before,2018.09.10,07-07-2018
583015,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Hong Nga Court,https://www.28hse.com/en/buy/estate-2014,For sale,5.8,6987.0,9699.0,,Mid level,2,830 ,598 ,,,,685,0,59 days before,20 days before,6 days before,2018.08.07,07-07-2018
601392,"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Houston Court,https://www.28hse.com/en/buy/estate-6245,For sale,3.98,,16245.0,,High level,1,,245 ,,27.0,,715,0,31 days before,31 days before,23 hours before,2018.09.04,07-07-2018
608720,"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Le Billionnaire,https://www.28hse.com/en/buy/estate-5184,For sale,10.3,13446.0,17944.0,,,2,766 ,574 ,,12.0,,150,0,20 days before,14 days before,1 days before,2018.09.14,07-07-2018
