ID,Region,Region Link,Estate,Estate Link,Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Property age(year),Address
621304,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,,,,700.0,,,
621305,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Wah Lee Building,https://www.28hse.com/en/buy/estate-6596,,,,405.0,229.0,36.0,
621317,,,,,,,,1480.0,700.0,,
385326,Tuen Mun,https://www.28hse.com/en/buy/district-g48,The Seacrest,https://www.28hse.com/en/buy/estate-4427,,,2,638.0,447.0,17.0,
617131,"Kwai Chung,Kwai Fong",https://www.28hse.com/en/buy/district-g50,Kwai Chun Court,https://www.28hse.com/en/buy/estate-4679,,,,,554.0,23.0,
601390,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Riva,https://www.28hse.com/en/buy/estate-7707,,,5 + ,1628.0,1274.0,4.0,
621341,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Victory Court,https://www.28hse.com/en/buy/estate-4618,,,,,280.0,,
621306,,,,,,,,1480.0,1400.0,,
605992,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Kam Fung Garden,https://www.28hse.com/en/buy/estate-4586,,,,,434.0,,
603202,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Belvedere Garden,https://www.28hse.com/en/buy/estate-4581,,,,582.0,470.0,,
621414,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Kingswood Villas,https://www.28hse.com/en/buy/estate-4390,,,,1180.0,986.0,21.0,
621327,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Villa Esplanada,https://www.28hse.com/en/buy/estate-4651,,,,687.0,499.0,20.0,
621417,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Palm Springs,https://www.28hse.com/en/buy/estate-4263,,,3,1410.0,967.0,,
621250,"Tai Po,Tai Wo",https://www.28hse.com/en/buy/district-g45,Eightland Gardens,https://www.28hse.com/en/buy/estate-5563,,Mid level,2,522.0,431.0,,
621265,"Tai Po,Tai Wo",https://www.28hse.com/en/buy/district-g45,Jade Plaza,https://www.28hse.com/en/buy/estate-4204,,Mid level,2,362.0,262.0,32.0,
621271,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Tierra Verde,https://www.28hse.com/en/buy/estate-4650,,Mid level,3,849.0,675.0,,
370850,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Festival City,https://www.28hse.com/en/buy/estate-5547,,,,1000.0,757.0,7.0,
621273,"Tai Po,Tai Wo",https://www.28hse.com/en/buy/district-g45,Fortune Plaza,https://www.28hse.com/en/buy/estate-4143,,Mid level,2,454.0,342.0,30.0,
622778,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,King Lam Estate,https://www.28hse.com/en/buy/estate-5916,24,Low level,,,349.0,,
622779,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,King Lam Estate,https://www.28hse.com/en/buy/estate-5916,25,Mid level,,,443.0,,
622781,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,King Lam Estate,https://www.28hse.com/en/buy/estate-5916,15,Mid level,,,443.0,,
621297,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Tierra Verde,https://www.28hse.com/en/buy/estate-4650,,,,541.0,431.0,,
616063,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Green Lodge,https://www.28hse.com/en/buy/estate-5632,,,,,3406.0,6.0,
621174,,,,,,Ground Floor,,350.0,,,
621184,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Greenwood Garden,https://www.28hse.com/en/buy/estate-4117,,,,,215.0,34.0,
