ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
592353,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,The Palazzo,https://www.28hse.com/en/buy/estate-4207,For sale,9.48,13222,17081,,,,717,555,,9.0,,285,0,46 days before,45 days before,5 days before,2018.08.21,07-08-2018
592526,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Lohas Park,https://www.28hse.com/en/buy/estate-4064,For sale,12.00,,14963,,High level,3,,802,$ 3 sq feet,2.0,,220,0,45 days before,45 days before,14 days before,2018.08.21,07-08-2018
588226,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Shatin Centre,https://www.28hse.com/en/buy/estate-4086,For sale,5.30,,18403,,,,,288,,37.0,,310,0,52 days before,46 days before,5 days before,2018.08.14,07-08-2018
588470,,,,,For sale,4.88,,12979,,,2,,376,,18.0,,370,0,52 days before,16 days before,3 days before,2018.08.15,07-08-2018
532884,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,City One Shatin,https://www.28hse.com/en/buy/estate-4080,For sale,5.88,,17982,,,2,,327,,31.0,,1831,0,46 days before,44 days before,44 days before,2018.08.21,07-08-2018
592052,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Mayfair Gardens,https://www.28hse.com/en/buy/estate-4655,For sale,5.20,12149,15805,,,,428,329,,36.0,,270,0,46 days before,46 days before,25 days before,2018.08.21,07-08-2018
592049,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Rambler Crest,https://www.28hse.com/en/buy/estate-4652,For sale,6.00,8784,12371,,,2,683,485,,15.0,,620,0,46 days before,46 days before,25 days before,2018.08.21,07-08-2018
592164,"Fan Ling,Sheung Shui",https://www.28hse.com/en/buy/district-g46,Royal Green,https://www.28hse.com/en/buy/estate-4210,For sale,4.89,9644,13216,,Low level,2,507,370,,13.0,,1000,0,46 days before,46 days before,9 days before,2018.08.21,07-08-2018
573595,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Man Bo Building,https://www.28hse.com/en/buy/estate-4462,For sale,3.80,10497,14449,,,,362,263,,36.0,,1030,0,2 months before,46 days before,3 days before,2018.07.24,07-08-2018
592215,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Imperial Villas,https://www.28hse.com/en/buy/estate-4289,,6.25,8085,10504,,,2,773,595,,15.0,,355,0,46 days before,,8 days before,2018.08.21,07-08-2018
592223,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Allway Gardens,https://www.28hse.com/en/buy/estate-4575,For sale,6.58,10840,12345,05室,High level,3,607,533,,40.0,,530,0,46 days before,46 days before,46 days before,2018.08.21,07-08-2018
592156,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Kin Fai Building,https://www.28hse.com/en/buy/estate-5079,,4.50,10766,13720,,,2,418,328,,25.0,,510,0,46 days before,,4 days before,2018.08.21,07-08-2018
592244,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Vianni Cove,https://www.28hse.com/en/buy/estate-4370,For sale For rent,7.55,7337,9729,,Low level,4,1029,776,,14.0,,895,0,46 days before,7 days before,5 days before,2018.08.21,07-08-2018
592219,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Maritime Bay,https://www.28hse.com/en/buy/estate-4011,For sale,7.50,12605,17361,1c,Mid level,2,595,432,,20.0,,340,0,46 days before,45 days before,2 days before,2018.08.21,07-08-2018
564033,Ma On Shan,https://www.28hse.com/en/buy/district-g43,Sunshine City,https://www.28hse.com/en/buy/estate-4040,For sale,6.06,14963,18879,C座7室,High level,open style,405,321,,25.0,,505,0,2 months before,21 days before,6 days before,2018.07.10,07-08-2018
592250,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Jubilee Garden,https://www.28hse.com/en/buy/estate-4084,For sale,7.50,11485,14706,,,,653,510,,32.0,,460,0,46 days before,45 days before,1 days before,2018.08.21,07-08-2018
521978,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Oceania Heights,https://www.28hse.com/en/buy/estate-4425,For sale,7.38,9271,12637,,,,796,584,,14.0,,1100,0,46 days before,46 days before,1 days before,2018.08.20,07-08-2018
573630,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Siu On Court,https://www.28hse.com/en/buy/estate-4443,For sale,5.38,8006,9556,,,,672,563,,36.0,,555,1,2 months before,46 days before,3 days before,2018.07.24,07-08-2018
592610,"Fan Ling,Sheung Shui",https://www.28hse.com/en/buy/district-g46,Wing Fok Centre,https://www.28hse.com/en/buy/estate-4186,For sale,3.00,5792,6961,,Mid level,2,518,431,,25.0,,1280,0,45 days before,37 days before,5 days before,2018.08.21,07-08-2018
584101,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Uptown,https://www.28hse.com/en/buy/estate-6210,For sale,8.90,7137,9359,,,,1247,951,,6.0,,285,0,58 days before,58 days before,8 days before,2018.08.08,07-08-2018
498615,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Century Gateway,https://www.28hse.com/en/buy/estate-7282,For sale,7.78,,16074,,High level,2,,484,,4.0,,645,0,46 days before,35 days before,1 days before,2018.08.20,07-08-2018
518411,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Parkland Villas,https://www.28hse.com/en/buy/estate-4411,For sale,4.88,8905,12979,,,,548,376,,18.0,,905,0,46 days before,46 days before,1 days before,2018.08.20,07-08-2018
567683,Ma On Shan,https://www.28hse.com/en/buy/district-g43,Lake Silver,https://www.28hse.com/en/buy/estate-4076,For sale,8.50,11921,15654,8座 D室,Low level,2,713,543,,9.0,,565,0,2 months before,31 days before,6 days before,2018.07.15,07-08-2018
592126,"Kwai Chung,Kwai Fong",https://www.28hse.com/en/buy/district-g50,Kwai Sing Centre,https://www.28hse.com/en/buy/estate-4695,For sale,4.68,10043,12219,B,Mid level,2,466,383,$ 600,37.0,,1720,0,35 days before,35 days before,21 hours before,2018.08.21,07-08-2018
580147,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Vision City,https://www.28hse.com/en/buy/estate-4625,For sale,12.00,14943,20067,,,3,803,598,,,,415,0,2 months before,2 months before,7 days before,2018.08.02,07-08-2018
591415,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Tai Wai Village,https://www.28hse.com/en/buy/estate-6952,For sale,8.30,,20750,,High level,2,,400,,,,335,0,47 days before,46 days before,6 days before,2018.08.19,07-08-2018
592135,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Central Park Towers,https://www.28hse.com/en/buy/estate-4377,For sale For rent,5.80,8815,,1座中層G,,,658,,,11.0,,1716,0,46 days before,,3 days before,2018.08.21,07-08-2018
