Region,Region Link,Estate,Estate Link,ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
Tsing Yi,https://www.28hse.com/en/buy/district-g51,Greenfield Garden,https://www.28hse.com/en/buy/estate-4656,624640,For sale,HK$ 6.28M ,"$13,029","$17,205",,,,482 ,365 ,,28,No.1 Fung Shue Wo Road,340,0,2 days before,3 hours before,2 hours before,2018.08.09,07-12-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Harbour Green,https://www.28hse.com/en/buy/estate-2566,618822,For sale,HK$ 12.30M ,"$17,521","$22,736",,Low level,,702 ,541 ,,11,NO.8 SHAM MONG ROAD,662,0,10 days before,10 days before,10 hours before,2018.08.01,07-12-2018
"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,La Lumiere,https://www.28hse.com/en/buy/estate-8567,618903,For sale,HK$ 9.28M ,,"$21,581",21,High level,2,,430 ,,2,No. 9 Lee Kung Street,1567,0,10 days before,6 days before,10 days before,2018.08.01,07-12-2018
"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Majestic Park,https://www.28hse.com/en/buy/estate-2321,619445,For sale,HK$ 15.00M ,"$14,807","$18,750",,High level,3,"1,013 ",800 ,,20,NO.11 FARM ROAD,766,0,9 days before,9 days before,9 days before,2018.08.02,07-12-2018
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,AVA 62,https://www.28hse.com/en/buy/estate-8671,614114,For sale,HK$ 5.60M ,,"$32,370",,,,,173 ,,1,62 Shanghai Street,1544,0,7 days before,7 days before,10 hours before,2018.08.24,07-12-2018
"Fan Ling,Sheung Shui",https://www.28hse.com/en/buy/district-g46,Village,https://www.28hse.com/en/buy/estate-4196,550498,For sale,HK$ 2.10M ,"$1,909",,,Ground Floor,2,"1,100 ",,,,--,19829,2,1 days before,18 hours before,1 days before,2018.08.10,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Apartment,https://www.28hse.com/en/buy/estate-2506,621052,For sale,HK$ 6.88M ,,"$15,426",,High level,2,,446 ,,15,--,931,0,7 days before,1 days before,2 days before,2018.08.04,07-12-2018
Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Yuk Ming Court,https://www.28hse.com/en/buy/estate-4016,626520,For sale,HK$ 4.30M ,"$7,203","$9,885",14,High level,2,597 ,435 ,,22,6 NGAN O ROAD,60,0,2 days before,3 hours before,,2018.08.11,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,625034,For sale,HK$ 13.00M ,"$9,285",,,,,"1,400 ",,,,--,470,0,2 days before,2 days before,3 days before,2018.08.09,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,625079,For sale,HK$ 5.55M ,"$7,928","$7,929",,,,700 ,700 ,,,--,1056,0,2 days before,2 days before,3 days before,2018.08.09,07-12-2018
Tuen Mun,https://www.28hse.com/en/buy/district-g48,Tuen Mun Town Plaza,https://www.28hse.com/en/buy/estate-4433,625331,For sale,HK$ 4.80M ,"$10,787","$14,724",,,,445 ,326 ,,31,NO.1 TUEN SHUN STREET,547,0,1 days before,1 days before,24 hours before,2018.08.10,07-12-2018
Tuen Mun,https://www.28hse.com/en/buy/district-g48,Tuen Mun Town Plaza,https://www.28hse.com/en/buy/estate-4433,624633,For sale,HK$ 5.48M ,"$12,018","$16,023",,,2,456 ,342 ,,31,NO.1 TUEN SHUN STREET,405,0,2 days before,,6 days before,2018.08.09,07-12-2018
